Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
Cameroon,1321.60284502,1196.6719810601,94.2296597513999,325.06656042641,67.5338264834,23.915805608,165.691520707363,84.5776556282683,12492,1410,2205,7,1531,69,243,198919.0,23298368.0,-0.5637870031956373,0.0957218912417068
Canada,5241.98405022022,5347.47776734619,665.254468566753,1374.39175262483,1676.91060980769,952.456225367387,315.483585568054,221.424783289075,82596,21863,13652,118,278,2011,160,269392.0,35702908.0,0.6402138417223345,-0.2597465741470169
Central African Republic,156.9332528136,258.194919855619,41.452455464485,47.9425841769452,8.542972892,2.7047745076,16.9866084175141,6.87974679724685,2474,268,747,10,681,26,24,64717.0,4493170.0,-0.8859128901686776,-0.012165558986961932
Chad,642.6425345195,607.549304505653,73.710027831696,157.904540500641,18.348240997,4.9531127364,88.6956051581344,40.6014144056342,5515,574,1279,3,1097,35,136,144593.0,14110975.0,-0.7403090706773273,0.05319856962515483
Chile,2049.8081873784,1005.37497778145,193.197174130653,406.604538852465,447.6504819767,725.16001580652,272.472536679696,158.396214153544,28109,3584,3888,113,259,1387,35,105061.0,17969353.0,-0.34434455560331934,-0.04231524832037615
China,129684.10550242,62330.5125999102,8733.15905717858,30867.9357983969,26365.3701374675,30900.8295355559,16022.0934925167,11055.1876295795,2410940,655214,980422,10633,25597,7812,4951,10100264.0,1371220000.0,40.78972397173383,-10.104815266705137
Colombia,3334.169376752,2813.1460709303,374.14781037565,899.64422955646,460.525929699,176.0050995887,219.596991576563,138.999915105756,43278,5503,13840,66,233,451,619,219044.0,47520667.0,0.028290969266920603,0.11552380393823539
Comoros,30.5680674474,13.942502723742,1.237785674893,9.3185160411586,1.43845616877,0.94968412064,2.42845924087763,1.116424585778,504,33,102,1,51,3,2,4349.0,777424.0,-0.9636989584529964,-0.04694802787301651
Congo,451.0825278052,363.287548791,14.2052630298,168.687194875961,29.84165684171,3.0335812613,55.2725334104103,24.3840178156628,2900,354,564,5,320,24,17,36901.0,4856095.0,-0.870933417082765,-0.043303991780094725
Costa Rica,452.5978049247,137.72478666453,43.353978264753,115.88322445395,47.1068227332,14.13740228356,20.5475414815016,14.9867927835271,5141,409,996,1,45,134,10,21246.0,4847804.0,-0.8835706774160261,-0.04201798661351046
Croatia,289.056806300543,185.115810132,47.034779211726,66.0700563535999,52.351680148578,42.946099529445,44.621171551845,23.8936942733295,14533,3068,1810,13,55,26,4,53688.0,4203604.0,-0.8480942144351349,-0.08426241853120188
Cuba,643.940975297,569.866851457,67.862086523,165.597057788155,141.02299457,430.335990051,55.3813447787335,36.3815983947034,25768,6019,4015,2,271,58,25,99210.0,11324781.0,-0.6901480574962964,-0.12057849211746924
Cyprus,22.69048397401,35.8678690460394,6.34304658911,10.8192162005257,17.50214453146,20.7258838597276,2.5734956594003,1.58729519132729,2064,425,394,1,26,62,5,7287.0,1160985.0,-0.9482008266215854,-0.04530523600475672
Czechia,843.909129331902,507.989833019473,111.04158284896,175.307490447913,240.22343543876,189.366744311076,109.501541042943,69.1302543380138,29161,6077,3595,48,121,225,21,109082.0,10546059.0,-0.6465345106211741,-0.11862852977952829
Côte d'Ivoire,1933.2133323105,492.244652456,89.68340336626,658.364049058405,71.1349884183,32.588514453,332.790928013296,99.1101170019112,10550,1163,1878,6,1462,45,222,192517.0,23226143.0,-0.5285903891134416,0.06932384098782067
Democratic People's Republic of Korea,844.0301644,824.808010141,52.1549814242,262.17847545184,93.072354846,197.68185707,96.6603909992651,57.8532296168124,38530,8508,28101,271,1638,152,134,228876.0,25183833.0,-0.405808379535806,-0.05981704434864105
Democratic Republic of the Congo,5812.6603198,1310.70566434,206.88027864228,1598.46698678172,112.4928351258,41.9560190945,880.004976686521,352.700021664366,31846,3592,10703,119,7168,421,348,653808.0,76244544.0,0.31066852260831773,0.3314314662400093
Denmark,314.688981864876,356.449539054761,157.869030574767,106.668151926645,106.546628338368,20.2109565218958,26.9006910337058,19.0019046173792,17299,4184,4002,13,66,185,12,51553.0,5683483.0,-0.7777699533038442,-0.07456041866710232
Djibouti,55.0750533951,32.74766770694,3.088127505776,16.5040799138167,8.957338200476,4.298841448838,2.8047466428096,1.18798669275469,602,49,71,0,46,3,3,6179.0,913993.0,-0.9591760414187136,-0.0477349495752241
Dominica,11.244804819,2.144990433384,0.3031067595386,2.55056309086553,2.14061219729,1.05075861829,0.152281094182718,0.0857838114305726,174,15,15,0,4,1,0,685.0,71183.0,-0.9705362878267183,-0.04969545326083007
Dominican Republic,585.310626417,348.35708923193,85.700519248195,175.205169882807,168.382191756888,175.642154711566,53.1936475237962,28.2993481144134,10196,1322,1333,1,483,51,38,65410.0,10281680.0,-0.773593732812125,-0.05032819857388651
Ecuador,1611.053488291,881.123862123,126.882050521819,390.395822268668,294.8798753568,258.88678512689,54.2317689795009,38.4223895096727,15651,1344,2478,11,95,757,56,82282.0,16212020.0,-0.6104400861256497,-0.0074398990933659944
Egypt,1506.95316857,2530.6550435289,298.04709800651,753.83429652169,671.54190641586,958.495019022801,138.760621657153,88.4935293090999,52776,5342,12994,42,7884,675,185,487543.0,92442547.0,0.1452997596570259,0.2801381823359059
